"108110","attribution","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Attribution Assurance Licenses\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/attribution.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"attribution\"}"
"108111","nokia","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Nokia Open Source License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/nokia.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"nokia\"}"
"108112","apsl-2.0","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Apple Public Source License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/apsl-2.0.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"apsl-2.0\"}"
"108113","lucent-plan9","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Lucent Public License (Plan9)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"lucent-plan9\"}"
"108114","hesa-withrights","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Higher Education Statistics Agency Copyright with data.gov.uk rights\", \"domain_data\": false, \"is_okd_compliant\": true, \"domain_content\": true, \"url\": \"\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"hesa-withrights\"}"
"108115","fal","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Free Art License\", \"domain_data\": false, \"is_okd_compliant\": true, \"domain_content\": true, \"url\": \"http://www.opendefinition.org/licenses/fal\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"fal\"}"
"108116","other-at","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Other (Attribution)\", \"domain_data\": false, \"is_okd_compliant\": true, \"is_generic\": true, \"url\": \"\", \"is_osi_compliant\": false, \"domain_content\": true, \"domain_software\": false, \"id\": \"other-at\"}"
"108117","ntp-license","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"NTP License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/ntp-license.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"ntp-license\"}"
"108118","cuaoffice","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"CUA Office Public License Version 1.0\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/cuaoffice.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"cuaoffice\"}"
"108119","isc-license","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"ISC License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/isc-license.txt\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"isc-license\"}"
"108120","intel-osl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Intel Open Source License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"intel-osl\"}"
"108121","ecl2","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Educational Community License, Version 2.0\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/ecl2.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"ecl2\"}"
"108122","opengroup","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Open Group Test Suite License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/opengroup.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"opengroup\"}"
